idx,value,action,his_mean
1.0,0.009794319,0.0,14.586
2.0,0.0048971595,0.0,14.086
3.0,0.0019588638,0.0,15.276
4.0,0.0009794319,0.0,14.155
5.0,0.021547502,0.0,17.034
6.0,0.010773751,0.0,15.897
7.0,0.0048971595,0.0,12.534
8.0,0.013712047,0.0,15.207
9.0,0.03036239,0.0,16.776
10.0,0.01567091,0.0,13.931
11.0,0.007835455,0.0,14.914
12.0,0.038197845,0.0,15.276
13.0,0.03134182,0.0,13.0
14.0,0.01567091,0.0,12.086
15.0,0.017629774,0.0,11.69
16.0,0.008814887,0.0,13.397
17.0,0.0039177276,0.0,12.431
18.0,0.011753183,0.0,15.224
19.0,0.012732615,0.0,15.483
20.0,0.03036239,0.0,15.414
21.0,0.014691479,0.0,16.0
22.0,0.019588638,0.0,15.845
23.0,0.009794319,0.0,13.379
24.0,0.028403524,0.0,14.517
25.0,0.013712047,0.0,13.672
26.0,0.023506366,0.0,13.483
27.0,0.019588638,0.0,13.914
28.0,0.009794319,0.0,15.345
29.0,0.0048971595,0.0,16.034
30.0,0.0019588638,0.0,16.586
31.0,0.008814887,0.0,15.862
32.0,0.01567091,0.0,13.534
33.0,0.007835455,0.0,16.207
34.0,0.027424093,0.0,15.155
35.0,0.013712047,0.0,11.776
36.0,0.023506366,0.0,13.138
37.0,0.011753183,0.0,12.224
38.0,0.013712047,0.0,11.931
39.0,0.0068560233,0.0,10.224
40.0,0.010773751,0.0,11.586
41.0,0.016650341,0.0,11.534
42.0,0.008814887,0.0,10.638
43.0,0.019588638,0.0,16.862
44.0,0.021547502,0.0,16.897
45.0,0.010773751,0.0,15.603
46.0,0.0048971595,0.0,15.81
47.0,0.023506366,0.0,13.351
48.0,0.011753183,0.0,12.977
49.0,0.01567091,0.0,12.241
50.0,0.007835455,0.0,12.586
51.0,0.027424093,0.0,12.534
52.0,0.013712047,0.0,12.207
53.0,0.0068560233,0.0,11.466
54.0,0.0029382957,0.0,10.862
55.0,0.012732615,0.0,12.741
56.0,0.0068560233,0.0,13.259
57.0,0.012732615,0.0,12.603
58.0,0.0058765914,0.0,14.207
59.0,0.014691479,0.0,14.897
60.0,0.018609207,0.0,14.707
61.0,0.009794319,0.0,14.397
62.0,0.0048971595,0.0,13.621
63.0,0.02056807,0.0,14.069
64.0,0.010773751,0.0,14.362
65.0,0.0048971595,0.0,14.724
66.0,0.0019588638,0.0,13.69
67.0,0.019588638,0.0,14.655
68.0,0.009794319,0.0,15.569
69.0,0.021547502,0.0,17.621
70.0,0.04505387,0.0,21.259
71.0,0.044074435,0.0,21.603
72.0,0.022526935,0.0,18.172
73.0,0.010773751,0.0,19.948
74.0,0.0058765914,0.0,23.224
75.0,0.0029382957,0.0,29.112
76.0,0.008814887,0.0,30.034
77.0,0.037218414,0.0,33.543
78.0,0.04113614,0.0,35.81
79.0,0.066601366,0.0,36.172
80.0,0.0460333,0.0,37.69
81.0,0.03525955,0.0,35.948
82.0,0.053868756,0.0,41.345
83.0,0.080313414,0.0,45.086
84.0,0.059745345,0.0,49.741
85.0,0.040156707,0.0,51.569
86.0,0.07737512,0.0,54.603
